name,latitude,longitude,Unnamed: 3,geometry
Bedford Falls NYC,40.7662383,-73.9624815,,"{'location': {'lat': 40.7662383, 'lng': -73.9624815}, 'viewport': {'northeast': {'lat': 40.76763278029149, 'lng': -73.9610848197085}, 'southwest': {'lat': 40.76493481970849, 'lng': -73.96378278029151}}}"
JP Fine Foods LLC | Private Chef NYC | Cocktail Catering NYC,40.76875,-73.957152,,"{'location': {'lat': 40.76875, 'lng': -73.957152}, 'viewport': {'northeast': {'lat': 40.76992603029149, 'lng': -73.95593051970849}, 'southwest': {'lat': 40.7672280697085, 'lng': -73.95862848029151}}}"
Campagnola,40.7688172,-73.95482600000001,,"{'location': {'lat': 40.7688172, 'lng': -73.95482600000001}, 'viewport': {'northeast': {'lat': 40.7702546802915, 'lng': -73.95363396970849}, 'southwest': {'lat': 40.7675567197085, 'lng': -73.95633193029151}}}"
Vanguard Wine Bar (Upper East Side),40.76854040000001,-73.95509969999999,,"{'location': {'lat': 40.76854040000001, 'lng': -73.95509969999999}, 'viewport': {'northeast': {'lat': 40.7699600802915, 'lng': -73.9538839697085}, 'southwest': {'lat': 40.7672621197085, 'lng': -73.9565819302915}}}"
Finnegan's Wake,40.7686647,-73.9556278,,"{'location': {'lat': 40.7686647, 'lng': -73.9556278}, 'viewport': {'northeast': {'lat': 40.7699783302915, 'lng': -73.95415946970849}, 'southwest': {'lat': 40.7672803697085, 'lng': -73.95685743029149}}}"
Murphy's Law,40.7661707,-73.9556642,,"{'location': {'lat': 40.7661707, 'lng': -73.9556642}, 'viewport': {'northeast': {'lat': 40.7674257802915, 'lng': -73.9543857697085}, 'southwest': {'lat': 40.7647278197085, 'lng': -73.95708373029152}}}"
Oda House UES,40.7680776,-73.95498649999999,,"{'location': {'lat': 40.7680776, 'lng': -73.95498649999999}, 'viewport': {'northeast': {'lat': 40.7694961802915, 'lng': -73.9535761697085}, 'southwest': {'lat': 40.7667982197085, 'lng': -73.9562741302915}}}"
Inès,40.768874,-73.954072,,"{'location': {'lat': 40.768874, 'lng': -73.954072}, 'viewport': {'northeast': {'lat': 40.77016408029149, 'lng': -73.9527660697085}, 'southwest': {'lat': 40.76746611970849, 'lng': -73.95546403029151}}}"
Sefton,40.7689628,-73.9553791,,"{'location': {'lat': 40.7689628, 'lng': -73.9553791}, 'viewport': {'northeast': {'lat': 40.7702847802915, 'lng': -73.95394691970849}, 'southwest': {'lat': 40.7675868197085, 'lng': -73.9566448802915}}}"
Fresco's Cantina,40.76842399999999,-73.9329588,,"{'location': {'lat': 40.76842399999999, 'lng': -73.9329588}, 'viewport': {'northeast': {'lat': 40.76986553029149, 'lng': -73.9316002697085}, 'southwest': {'lat': 40.7671675697085, 'lng': -73.9342982302915}}}"
